VIN-NR,MAKE-OF-CAR,MODEL-Short,MODEL-YEAR
1FDUF5GY0HEE06184,FORD,   ,2017
1N6ED27T1YC365896,NISS,   ,2000
2MEFM75W51X666003,MERC,GRA,2001
3GCEC14X36G211708,CHEV,   ,2006
1GKKNMLS7MZ125338,GMC ,ACA,2021
5XYP54GC6PG349854,KIA ,TEL,2023
3C6UR5DL1NG436326,RAM ,   ,2022
1FTJW35FXTEA30518,FORD,   ,1996
KL79MTSL3NB109372,CHEV,TRB,2022
1N6BA07D18N337237,NISS,   ,2008
JA3AJ86E22U082990,MITS,LAN,2002
1GC2CUEG2HZ153726,CHEV,   ,2017
5GAKRBKD5FJ255421,BUIC,ECV,2015
2G1FP22K3X2109585,CHEV,CAM,1999
1N4AA5AP0AC818649,NISS,MAX,2010
3TMCZ5ANXPM558956,TOYT,   ,2023
5TDKKRFHXGS152976,TOYT,HGH,2016
3C63RRML0JG334772,RAM ,   ,2018
5FNYF5H51GB036662,HOND,PLT,2016
1GCPYCEF1MZ170987,CHEV,   ,2021
1FTPW14V08FB60431,FORD,   ,2008
5FNRL6H89PB066554,HOND,ODY,2023
1D7RB1CT8AS212492,DODG,   ,2010
      H255B007912,CHEV,   ,1955
3VWLA7AJ2FM249414,VOLK,JET,2015
5TBDT48114S441497,TOYT,   ,2004
4TANL42NXXZ472172,TOYT,   ,1999
3FA6P0HD5HR123467,FORD,FUS,2017
1FM5K7D86FGA51412,FORD,XPL,2015
KNDMB133686263979,KIA ,SED,2008
1GT48NEY1NF102479,GMC ,   ,2022
2LMTJ6KR6GBL87753,LINC,MKX,2016
3GCEC23069G160302,CHEV,   ,2009
JN8AZ1MU1EW417228,NISS,MUR,2014
2C3CDXAT9MH663060,DODG,CHA,2021
1GTR1LEH0GZ167176,GMC ,   ,2016
1C6RD6LT8CS137224,DODG,   ,2012
5YFBPRHE6GP400329,TOYT,COR,2016
NM0LS7E75E1161903,FORD,   ,2014
4T1BE46K69U852803,TOYT,CAM,2009
5N1AT2MT1KC716690,NISS,ROG,2019
1G1PE5SB8F7250526,CHEV,CRU,2015
4T1BF1FK1GU571212,TOYT,CAM,2016
1HGCV2F33JA028321,HOND,ACC,2018
LVYBC0ALXJP034747,VOLV,S90,2018
1FT8W2BT1NED70369,FORD,   ,2022
2FAHP71V49X110314,FORD,CRO,2009
1FAFP58262A218472,FORD,TAU,2002
1HGCR2F83DA071433,HOND,ACC,2013
1GKKNKLA1JZ241920,GMC ,ACA,2018
2C4RDGCG3KR759375,DODG,CVN,2019
5UX43DP05N9M38276,BMW ,X3 ,2022
JTEBU11F170096037,TOYT,FJC,2007
1GNFC33099R144676,CHEV,TAH,2009
3C6LRVBG8PE513693,RAM ,PRM,2023
5XYKT3A28CG309263,KIA ,SOR,2012
2C3CCAAG5FH929793,CHRY,300,2015
5FNYF3H95CB027741,HOND,PLT,2012
1D7HA18N65J625077,DODG,   ,2005
5FNYF18577B019826,HOND,PLT,2007
5UXWX9C54D0A21829,BMW ,BX3,2013
1FTEW1C4XLFA54450,FORD,   ,2020
JT4RN66D5E5008613,TOYT,   ,1984
3GTP8DEDXMG113742,GMC ,   ,2021
1HGCV3F45KA010211,HOND,ACC,2019
5FNYF5H58GB025013,HOND,PLT,2016
3C6UR5GLXGG132894,RAM ,   ,2016
3C6UR5ML6KG539186,RAM ,   ,2019
1FDUF5GT7KEG59790,FORD,   ,2019
1FMJK2A55EEF05235,FORD,   ,2014
1C4RJEAG8DC549740,JEEP,GCH,2013
1FAHP2MK0EG120021,FORD,TAU,2014
1FM5K7F81EGA85818,FORD,XPL,2014
1B7HC16X71S766429,DODG,   ,2001
1FTEW1EF2HFA27524,FORD,   ,2017
1GCUYDED5KZ371828,CHEV,   ,2019
KNDMB5C18G6132511,KIA ,SED,2016
5TENX22N37Z392245,TOYT,   ,2007
1N4AA6AP8HC384559,NISS,MAX,2017
1GC5CVBG0AZ256740,CHEV,   ,2010
JTEZU14R260069450,TOYT,4RN,2006
1HTWXAHR59J145477,INTL,   ,2009
1C3CCCAB7FN578683,CHRY,200,2015
JHMZF1D45BS014295,HOND,CRZ,2011
1GKS1BKDXNR288750,GMC ,YUK,2022
1HTSDAAN1WH507533,INTL,   ,1998
1GC1KYC86EF177204,CHEV,   ,2014
YV4L12WZ6P2108047,VOLV,V60,2023
1N6BF0KM3HN806496,NISS,   ,2017
1FTMF1CB5MKD64346,FORD,   ,2021
3FA6P0G74LR178710,FORD,FUS,2020
WP1AA2A53KLB04294,PORS,   ,2019
1HGCP2F73AA068475,HOND,ACC,2010
3GCPCSE08BG320157,CHEV,   ,2011
1FTEX1CBXLFA99240,FORD,   ,2020
1D7HA18N05S251673,DODG,   ,2005
1GC1KSEY4KF180611,CHEV,   ,2019
KM8SC13D73U502310,HYUN,SFE,2003
58AFA1C16NU025510,LEXS,300,2022
5XYPG4A5XLG669192,KIA ,SOR,2020
2FMDK3KC6BBA11358,FORD,EDG,2011
3GKALTEG6PL238293,GMC ,TER,2023
NM0LS7S29N1513387,FORD,   ,2022
5XXGT4L32JG234708,KIA ,OPT,2018
5YJ3E1EC8NF266320,TESL,MOD,2022
2GCEC19V111222991,CHEV,   ,2001
2T3C1RFV6MW138872,TOYT,RAV,2021
1FT7W2BT9CEA99621,FORD,   ,2012
2GCEC19T911202194,CHEV,   ,2001
1FT8W3BN7MED82001,FORD,   ,2021
1FAHP2E88EG181619,FORD,TAU,2014
1C4RDHDG5GC466548,DODG,DUR,2016
1FTPW14V58FA76766,FORD,   ,2008
1FTRW07WX1KE06406,FORD,   ,2001
1FT7W2BT8KEG64990,FORD,   ,2019
1GKKRTKD2EJ244495,GMC ,ACA,2014
2C4RDGBG3CR115958,DODG,CVN,2012
1FT7W2BTXHEB98326,FORD,   ,2017
WAUB8GFF5G1078636,AUDI,A3 ,2016
1FTEX15H8TKA52670,FORD,   ,1996
3VWLL7AJ1DM360107,VOLK,JET,2013
1FTFW1E55LKF00571,FORD,   ,2020
3VWD07AJ5EM294045,VOLK,JET,2014
1GC4YREY9LF268866,CHEV,   ,2020
5J8YE1H02NL046760,ACUR,MDX,2022
5NPEJ4J22LH011423,HYUN,SON,2020
1GCRWAEF9MZ314949,CHEV,   ,2021
2GCEC19T541327794,CHEV,   ,2004
1FT7W2BT4LEC47769,FORD,   ,2020
1GCFG25W7X1079170,CHEV,   ,1999
1FTFX1EF5BFB66278,FORD,   ,2011
5XYKU4A23BG012306,KIA ,SOR,2011
1D7HA18N22J194782,DODG,   ,2002
1N4BL4BV1LC240859,NISS,ALT,2020
1GNEC13Z22R215835,CHEV,TAH,2002
3FRWX6FK9FV524865,FORD,   ,2015
JTMWFREV5HJ713886,TOYT,   ,2017
WAUFFAFL4BA073303,AUDI,A4 ,2011
1HGCR2F86DA135514,HOND,ACC,2013
5XXGT4L34KG310415,KIA ,OPT,2019
1XKDDP9X7CJ316805,KW  ,   ,2012
2HGFE2F56NH546879,HOND,CIV,2022
1XKZD49X7KJ258858,KW  ,   ,2019
1GCEC14X08Z241445,CHEV,   ,2008
1FTER4EH9LLA84212,FORD,   ,2020
1GC1YLE7XNF198434,CHEV,   ,2022
1GNSKSKL2PR278174,CHEV,TAH,2023
4JGFB5KB5LA083998,MERZ,GLE,2020
JM3KFACMXJ1355773,MAZD,CX5,2018
1FT7X2A67GED27792,FORD,   ,2016
2B3LJ54T89H563691,DODG,CHL,2009
3B7HC13Y3TG191527,DODG,   ,1996
4T1K61AK6LU384159,TOYT,CAM,2020
JTMZF4DV9AD023435,TOYT,RAV,2010
3GNAXKEV2KS612431,CHEV,EQX,2019
JM3KE2DE8D0140340,MAZD,CX5,2013
1GNEC23349R170196,CHEV,TAH,2009
JT2BF22K0X0204088,TOYT,CAM,1999
1FT7W2AT7CEB59980,FORD,   ,2012
5TFEY5F13MX272793,TOYT,   ,2021
2G1WB5EN7A1200099,CHEV,IMP,2010
1FABP40A4KF301588,FORD,MUS,1989
2T3W1RFV5LC058881,TOYT,RAV,2020
5UXCR4C07P9R10772,BMW ,X5 ,2023
RLHKF1807FY001173,HMCY,   ,2015
5XXGT4L31LG426513,KIA ,OPT,2020
1GT49MEY4NF309472,GMC ,   ,2022
1FT7W2BTXHED76011,FORD,   ,2017
4T1G11AK0NU711727,TOYT,CAY,2022
5TFCZ5AN4HX061090,TOYT,   ,2017
1C6RRFBG7NN279362,RAM ,   ,2022
1HTSCAAP8YH275245,INTL,   ,2000
1GCPABEK3NZ583586,CHEV,   ,2022
1N4AL3AP7HC269492,NISS,ALT,2017
1G6DV57V280215573,CADI,CTS,2008
      E14GHP68375,FORD,   ,1972
1HGCM56806A031491,HOND,ACC,2006
1FMCU0J98EUE11513,FORD,   ,2014
1FTEX1CB1NKE65824,FORD,   ,2022
SALYL2RX3JA752186,LNDR,RRV,2018
3GCUKSEC7JG148251,CHEV,   ,2018
2LMDJ6JK3BBJ21897,LINC,MKX,2011
KM8KNDAF6PU218270,HYUN,INQ,2023
3ALACWFC1MDMC8737,FRHT,   ,2021
KNDJP3A52F7202401,KIA ,SOL,2015
2GCEC19C571716973,CHEV,   ,2007
1B3ES26C45D111441,DODG,NEO,2005
5LM5J7WC8LGL20331,LINC,AVI,2020
1N4AL3AP9HN355021,NISS,ALT,2017
1FTEW1EF5FKE80394,FORD,   ,2015
1GCHK23K68F168028,CHEV,   ,2008
1HVBAZRL2MH361173,ITNL,   ,1991
2G1WF55K929332228,CHEV,IMP,2002
1HD1FHW165Y671679,HD  ,   ,2005
1GNDT13W22K136546,CHEV,BLZ,2002
5N1AT2MT6FC879308,NISS,RGE,2015
4T1BG22K51U772370,TOYT,CAY,2001
3D6WG46A27G811053,DODG,   ,2007
1N4AL3AP1FC206823,NISS,ALT,2015
1FTEW1E57KFA57889,FORD,   ,2019
2T3YFREVXFW218929,TOYT,RAV,2015
1C4BJWFG3GL242299,JEEP,WRA,2016
1FDUF5GT5CEA16453,FORD,   ,2012
1FTRX17W12KA81777,FORD,   ,2002
JTEZU5JR6K5211596,TOYT,4RU,2019
3FA6P0H79HR321589,FORD,FUS,2017
5TDKKRFH3FS041569,TOYT,HGH,2015
YV440MDC6F2591961,VOLV,   ,2015
1FT7W2BT7KEC24744,FORD,   ,2019
1FTRX17212NA24698,FORD,   ,2002
1GNEC13Z72R133311,CHEV,TAH,2002
3GCUYEED8LG388257,CHEV,   ,2020
1FTEX1C53KKE96465,FORD,   ,2019
1GYKPCRS9LZ173648,CADI,XT6,2020
5GAER23D99J188712,BUIC,ENC,2009
2HGFC2F87LH556317,HOND,CIV,2020
1GTR1UEC0EZ254034,GMC ,   ,2014
1M2AX12C6GM036108,MACK,   ,2016
NM0LS6AN2CT100282,FORD,RCN,2012
1FTPX12V67KC72785,FORD,   ,2007
3HGGK5H72GM701266,HOND,FIT,2016
NLTEJXA96P1000398,TEMS,   ,2023
5J6RM3H97GL019549,HOND,CRV,2016
W1N9M0KB5PN021751,MERZ, NA,2023
1GKS1GKCXJR339775,GMC ,YUK,2018
3GCPYCEH6KG118818,CHEV,   ,2019
1G1YA2D41P5100476,CHEV,CVT,2023
3B7MC33672M203414,DODG,   ,2002
3GTEC13C89G106536,GMC ,   ,2009
5UXKR2C56E0H33700,BMW ,X5 ,2014
1FT7X2B64KEC41024,FORD,   ,2019
JS1SK43AX62101388,SUZI,   ,2006
3GCEC13J18G232735,CHEV,   ,2008
1GNSKDEC9LR185718,CHEV,   ,2020
1GNFC13J87R111081,CHEV,TAH,2007
1G11C5SL6FF101445,CHEV,MAL,2015
1N4BL4DV6KC214947,NISS,ALT,2019
2LMDJ6JK3BBJ08485,LINC,MKX,2011
1G1YL3D79E5127416,CHEV,COR,2014
2GCEC19V841178301,CHEV,   ,2004
3C6UR5DL5MG542633,RAM ,   ,2021
1J4FA49S9YP725306,JEP ,   ,2000
3GTU2VEC1FG430913,GMC ,   ,2015
1AMCA0555CK140871,AMER,CON,1982
1HGCR2F89DA091329,HOND,ACC,2013
1GNSCBKC4GR433109,CHEV,TAH,2016
1FTFW1E56NFB84481,FORD,   ,2022
1N4AL2AP9BN445528,NISS,ALT,2011
5NMS64AJ8MH349919,HYUN,SFE,2021
3FMTK2R74MMA02500,FORD,MUS,2021
KNDMG4C70C6438337,KIA ,SED,2012
3GTU2VEJ9FG486905,GMC ,   ,2015
WDDWF4JB7JR386838,MERZ,C  ,2018
4T1BK36B89U349812,TOYT,AVA,2009
3GCEC14V96G207418,CHEV,   ,2006
5XYP54HC1LG081689,KIA ,   ,2020
1FTFW1ET7CFC69714,FORD,   ,2012
1G1BE5SM9J7246358,CHEV,CRU,2018
3C6TRVDG8KE524649,RAM ,   ,2019
3GCUYEED4LG376154,CHEV,   ,2020
KNAFU4A22D5702798,KIA ,FOR,2013
3GNKBCRSXLS550447,CHEV,BLZ,2020
1GKKRPKD1EJ300711,GMC ,ACA,2014
2GCEC19T921388868,CHEV,   ,2002
JTHBF30G220026736,LEXS,330,2002
3GCPCREC0GG261051,CHEV,   ,2016
2GNAXKEV6M6106408,CHEV,   ,2021
1FTNW20F5YEB74794,FORD,   ,2000
1FTWW33F11ED63065,FORD,   ,2001
4T1G11AK5LU326421,TOYT,CAM,2020
1FMSK7FH7LGA76816,FORD,   ,2020
1HGCV1F37LA134140,HOND,ACC,2020
1G1ZD5EU4CF379776,CHEV,MAL,2012
5N1AZ2MG6GN141192,NISS,MUR,2016
2C3CDXBG4NH259022,DODG,CHA,2022
1GT49WEY3LF191228,GMC ,   ,2020
1GC1KWEG8JF125866,CHEV,   ,2018
1FT7X2A62BEB33194,FORD,   ,2011
1GC1KXE82FF563210,CHEV,   ,2015
1FM5K7FH2KGA75553,FORD,XPL,2019
3FA6P0HD1ER118648,FORD,FUS,2014
WDAPF4CC1GP203574,AISM,   ,2016
1GKS1FKD1PR277405,GMC ,YUK,2023
54DK6S1F5NSA50151,ISCT,   ,2022
1FTFW1CFXCKE31999,FORD,   ,2012
1GC4YUEY1MF100465,CHEV,   ,2021
1FTFW1EVXAFC49312,FORD,   ,2010
1FMJU1K50BEF12785,FORD,   ,2011
1GKFK66U54J203679,GMC ,YUK,2004
WBAWC73599E269855,BMW ,335,2009
3GNEC32099G183605,CHEV,   ,2009
1G1ZC5ST8JF177275,CHEV,MAL,2018
1FTEW1EGXFFC70035,FORD,   ,2015
2NP3LN0X8EM179714,PTRB,   ,2014
2MELM74W9TX676945,MERC,GRA,1996
1D4HS38N13F575615,DODG,DUR,2003
4T1B11HK9KU706182,TOYT,CAM,2019
1NL1G2726N6010257,KGSP,   ,2022
5NPEH4J20MH123568,HYUN,SON,2021
JH4CU2F40CC003408,ACUR,TSX,2012
1GC7CZBG2AF130381,CHEV,   ,2010
JN8AZ2NF0K9689320,INFI,QX8,2019
3C63RRGL9NG360689,RAM ,   ,2022
1HGCV1F31NA048468,HOND,ACC,2022
3GNKBDR45PS223337,CHEV,BLZ,2023
1FTFW1EF4BFA11384,FORD,   ,2011
2G1WA5E38C1239448,CHEV,IMP,2012
1C4RJEBG9JC485671,JEEP,GRC,2018
5N1AZ2MG3JN110909,NISS,MUR,2018
3GCUKREC3JG137420,CHEV,   ,2018
19UUA8F28DA007804,ACUR,TL ,2013
5TDKZRFH7HS191571,TOYT,HGH,2017
WDBRF52H66A912459,MERZ,C23,2006
JN8AY2DA8P9401639,NISS,ARM,2023
1C4RJFAG3JC352668,JEEP,GRC,2018
2GKFLSE50C6120818,GMC ,TRN,2012
1C3CDZAB3CN275945,DODG,AVN,2012
3N1AB7AP5FY298534,NISS,SEN,2015
3GTU9BED3KG242634,GMC ,   ,2019
1GT49WEY9PF235948,GMC ,   ,2023
WAUCBCF55NA003311,AUDI,A5 ,2022
1FBSS31L76DA95868,FORD, NA,2006
3ALACXFC3JDJN2115,FRHT,   ,2018
1FT7W2BT1LED75144,FORD,   ,2020
1FTFW1ED0NFA18268,FORD,   ,2022
1FTFW1CT8EFD04220,FORD,   ,2014
58AJZ1B1XNU112640,LEXS,350,2022
5TEWN72N54Z385042,TOYT,   ,2004
3GNEC16Z15G293703,CHEV,   ,2005
2HGFC4A55GH307030,HOND,CIV,2016
1FTRF14VX7NA50662,FORD,   ,2007
3FRNF65F97V517452,GLAV,   ,2007
JT8BD69SX50205125,LEXS,GS ,2005
1GNFC23009J101417,CHEV,TAH,2009
1FT7X2BA3PED18820,FORD,   ,2023
3FA6P0HD4LR160924,FORD,FUS,2020
1FTEX1CF7HKC79423,FORD,   ,2017
1GDGC24R0YF469863,GMC ,   ,2000
5TDKKRFH7FS114975,TOYT,HGH,2015
JT8CD32Z6X1006449,LEXS,SC ,1999
1N6BA07D58N357507,NISS,   ,2008
5N1BT3BA0PC821692,NISS,RGE,2023
    F0062FG045074,INTL,   ,1976
1FBNE31L06DB06536,FORD,   ,2006
58ABK1GG5HU038764,LEXS,ES ,2017
1V2DR2CA6JC521357,VOLK,ATL,2018
5XYPG4A56KG490162,KIA ,   ,2019
5TFRV54167X025625,TOYT,   ,2007
1B7HC16X4SS149037,DODG,   ,1995
1FMFU17537LA56346,FORD,EPD,2007
1D7HA18N98S637500,DODG,   ,2008
3C63R2GJ7JG243029,RAM ,   ,2018
3C6UR5CL1HG748569,RAM ,   ,2017
WDCGG5GB0BF575403,MERZ,GLK,2011
1GNLREED0AS106084,CHEV,TRV,2010
5N1AR2MNXEC653478,NISS,PTH,2014
5TFUW5F19AX094983,TOYT,   ,2010
3N1CP5CU4JL521427,NISS,KIC,2018
1GCEC19089E137998,CHEV,   ,2009
1GNEC13T31R165165,CHEV,TAH,2001
1FMCU93G99KB39703,FORD,ESC,2009
JTHHP5BC9F5001760,LEXS,   ,2015
JTHBL5EF2H5143846,LEXS,LS ,2017
1G1YY36W195113750,CHEV,CVT,2009
JTJYARBZ6J2099720,LEXS,   ,2018
1GNSCBKC8HR164680,CHEV,TAH,2017
5TDYK3DCXGS750340,TOYT,SNA,2016
1C6SRFFTXNN444295,RAM ,   ,2022
4DRBUSKNXDB115843,IC  ,   ,2013
1FTNW20FXXEB39991,FORD,   ,1999
1FDFF6KT9NDA08239,FORD,   ,2022
5N1AZ2MG5HN150810,NISS,MUR,2017
2C4RC1CG3NR229993,CHRY,VOY,2022
1FTFW1R64EFA82017,FORD,   ,2014
1FTBR3X84LKB17276,FORD,TNT,2020
4JGDA5JB6HA966415,MERZ,GLE,2017
1FTEW1C55MKD89181,FORD,   ,2021
1GAWGRFF5F1177290,CHEV,EXP,2015
1FTBR1Y89PKA30353,FORD,TRN,2023
4T1BF1FK3HU756380,TOYT,CAM,2017
1FTRX18L8YKB40319,FORD,   ,2000
1C4RJEBG0MC596498,JEEP,GRC,2021
3GCPCREA0DG287367,CHEV,   ,2013
2FMGK5C8XGBA06268,FORD,FLX,2016
5XYZU3LB8HG431783,HYUN,SFE,2017
1G1JC6SH8C4176642,CHEV,SON,2012
1HGCP368X8A085704,HOND,ACC,2008
1FTFW1CF2DKF65651,FORD,   ,2013
1FUJGEDV4DLBT9700,FRHT,   ,2013
1GC1CXCGXBF182092,CHEV,   ,2011
1HVBBABP7YH320085,INTL,   ,2000
1FTEW1E81PFA48932,FORD,   ,2023
1GYKNCRS1LZ165436,CALC,   ,2020
1N4AL3AP4DC920703,NISS,ALT,2013
4UZ6CJAA9XCA10158,FRHT,   ,1999
1FTYR10D92PA96626,FORD,   ,2002
3GCUYEET4LG381555,CHEV,   ,2020
1HGCV1F3XMA120248,HOND,ACC,2021
2HGFG2A56BH700374,HOND,CIV,2011
1GB3CZCG8BF250267,CHEV,   ,2011
1FDKE30G5SHA48487,DUTC,   ,1995
1FDXE40S3XHA85237,COAH,   ,1999
1GKKNML40MZ101108,GMC ,   ,2021
5FNYF8H01KB001019,HOND,PAS,2019
5LMJJ2H52AEJ04418,LINC,NAV,2010
1GTR8CED9KZ370147,GMC ,   ,2019
1FAPP14J8PW155685,FORD,ESC,1993
1HTXHAHT97J410721,INTL,   ,2007
KNAGM4A79F5567242,KIA ,OPT,2015
    DE257KGB10254,INTL,   ,1980
1C4PJLCBXKD308038,JEEP,CHK,2019
1G1ND52F34M642079,CHEV,MAL,2004
WAUCFAFC2GN068751,AUDI, NA,2016
1FMSK7DHXLGC06946,FORD,EXP,2020
WA1AECF30L1033565,AUDI,   ,2020
5TDYZRFH1JS248055,TOYT,HDR,2018
1GTEC14W82Z169490,GMC ,   ,2002
JHMFE1F77NX007756,HOND,CIV,2022
2LMPJ6J9XMBL16439,LINC,NAU,2021
3TMCZ5AN3LM363940,TOYT,   ,2020
1FTEW1CP2LKE69361,FORD,   ,2020
3D73Y4CL9BG567699,DODG,   ,2011
1B7HC16Z5SS234633,DODG,   ,1995
1GT48LE71PF222278,GMC ,   ,2023
KMHWF25S01A398395,HYUN,SON,2001
1HGCV1F55LA099079,HOND,ACC,2020
5XYZU3LAXEG211385,HYUN,SFE,2014
1G1ZD5ST2PF146982,CHEV,MAL,2023
1M2AX04C8JM037176,MACK,   ,2018
1G4AP69Y3EX419921,BUIC,LES,1984
JTJYARBZ5J2090653,LEXS,NX3,2018
KNDJN2A22G7258958,KIA ,SOL,2016
1FM5K8AR1HGB71561,FORD,   ,2017
JH4CU26619C021037,ACUR,TSX,2009
1GCRCREC6HZ151907,CHEV,   ,2017
1FTMF1C57MKE25223,FORD,   ,2021
WBA3A5C50FP605390,BMW ,328,2015
1GYS3CKJ8HR215134,CALC,ESC,2017
WDC0G4KB4KV117503,MERZ,G30,2019
1FTFW1E82NKD33227,FORD,   ,2022
3GCRCSE01AG163353,CHEV,   ,2010
1GKS2MEF8DR349470,GMC ,YUK,2013
3GTP9EEL1LG164412,GMC ,   ,2020
5XXG64J2XMG070405,KIA ,   ,2021
7FARW1H82LE021500,HOND,CRV,2020
5XYKT3A63DG324676,KIA ,SOR,2013
JF2SKALC9MH571560,SUBA,FOR,2021
4JGDA5JB4HA874686,MERZ,G35,2017
1FTRF12W96NA86692,FORD,   ,2006
WBA8E1G56JNU89548,BMW ,32I,2018
3C3CFFCR6CT385407,FIAT,500,2012
3GKALPEV7ML310653,GMC ,TER,2021
3GCPAAEK7PG105720,CHEV,   ,2023
1GTEK19JX7Z557862,GMC ,   ,2007
5LMJJ3KT8MEL01305,LINC,NAV,2021
1GCHC24U46E271450,CHEV,   ,2006
1BAKCCSH8NF383611,BLUB,   ,2022
WDCGG5GB8CF773146,MERZ,GK3,2012
